Debuff,Pushed Off By,Number
Entrapment,Frost Nova,2
Frost Trap Aura,Mind Flay,1
Frost Trap Aura,Deep Wound,1
Frost Trap Aura,Banish,1
Frost Trap Aura,Rain of Fire,1
Frost Trap Aura,Volley,1
Frost Trap Aura,Corruption,2
Frost Trap Aura,Frost Trap Aura,6
Devouring Plague,Corruption,1
Devouring Plague,Mind Flay,1
Devouring Plague,Taunt,1
Devouring Plague,Drain Soul,1
Deadly Poison IV,Drain Soul,2
Deadly Poison IV,Shadowburn,1
Deadly Poison IV,Corruption,1
Deadly Poison IV,Rend,1
Deadly Poison IV,Hemorrhage,2
Deadly Poison IV,Taunt,2
Deadly Poison IV,Serpent Sting,1
Deadly Poison IV,Shadow Vulnerability (ISB),1
Deadly Poison IV,Mind Flay,2
Deadly Poison IV,Winter's Chill,2
Growl,Moonfire,1
Taunt,Serpent Sting,2
Taunt,Corruption,4
Taunt,Stormstrike,1
Taunt,Siphon Life,1
Taunt,Shadow Vulnerability (ISB),1
Taunt,Sunder Armor,1
Taunt,Taunt,1
Judgement of Light,Judgement of Light,1
Holy Fire,Mind Flay,3
Holy Fire,Drain Soul,7
Holy Fire,Shadow Vulnerability (ISB),6
Holy Fire,Hunter's Mark,1
Holy Fire,Taunt,2
Holy Fire,Shadowburn,2
Holy Fire,Consecration,2
Holy Fire,Deep Wound,3
Holy Fire,Corruption,1
War Stomp,War Stomp,3
Curse of Weakness,Curse of Recklessness,1
Curse of Weakness,Drain Soul,6
Curse of Weakness,Mind Flay,3
Curse of Weakness,Shadow Vulnerability (ISB),6
Curse of Weakness,Shadow Word: Pain,2
Curse of Weakness,Shadowburn,2
Curse of Weakness,Curse of Weakness,1
Curse of Weakness,Rain of Fire,1
Curse of Weakness,Blizzard,1
Curse of Weakness,Volley,1
Curse of Weakness,Mortal Strike,2
Curse of Weakness,Curse of Agony,1
Puncture Armor,Siphon Life,1
Puncture Armor,Faerie Fire (Feral),1
Fear,Frostbolt,1
Cheap Shot,Cheap Shot,1
Kidney Shot,Kidney Shot,1
Gouge,Frost Nova,1
Weakened Soul,Serpent Sting,1
Numbing Pain,Stormstrike,1
Blast Wave,Cone of Cold,1
Howl of Terror,Cone of Cold,2
Thunderclap,Thunderclap,1
Psychic Scream,Polymorph,1
Psychic Scream,Frost Trap Aura,4
Psychic Scream,Shadowburn,1
Scatter Shot,Kick - Silenced,1
Frost Shock,Crippling Poison,1
Frost Shock,Frostbolt,1
Hamstring,Cone of Cold,1
Immolation Trap Effect,Gift of Arthas,2
Weakening Disease,Shadow Vulnerability (ISB),2
Weakening Disease,Corruption,2
Weakening Disease,Taunt,2
Pyroblast,Pyroblast,1
Hurricane,Blizzard,4
Hurricane,Hurricane,1
Wing Clip,Wing Clip,4
Blind,Wing Clip,1
Skullforge Brand,Drain Soul,4
Skullforge Brand,Stormstrike,2
Skullforge Brand,Thunder Clap,1
Skullforge Brand,Deep Wound,5
Skullforge Brand,Shadowburn,1
Skullforge Brand,Corruption,1
Skullforge Brand,Serpent Sting,2
Skullforge Brand,Mind Flay,3
Skullforge Brand,Curse of Agony,1
Impact,Thunder Clap,1
